categoria,date,numero_casos
10 a 15 anos,Jan 1 2009,428
10 a 15 anos,Feb 1 2009,428
10 a 15 anos,Mar 1 2009,428
10 a 15 anos,Apr 1 2009,428
10 a 15 anos,May 1 2009,428
10 a 15 anos,Jun 1 2009,428
10 a 15 anos,Jul 1 2009,428
10 a 15 anos,Aug 1 2009,428
10 a 15 anos,Sep 1 2009,428
10 a 15 anos,Oct 1 2009,428
10 a 15 anos,Nov 1 2009,428
10 a 15 anos,Dec 1 2009,428
10 a 15 anos,Jan 1 2010,370
10 a 15 anos,Feb 1 2010,370
10 a 15 anos,Mar 1 2010,370
10 a 15 anos,Apr 1 2010,370
10 a 15 anos,May 1 2010,370
10 a 15 anos,Jun 1 2010,370
10 a 15 anos,Jul 1 2010,370
10 a 15 anos,Aug 1 2010,370
10 a 15 anos,Sep 1 2010,370
10 a 15 anos,Oct 1 2010,370
10 a 15 anos,Nov 1 2010,370
10 a 15 anos,Dec 1 2010,370
10 a 15 anos,Jan 1 2011,350
10 a 15 anos,Feb 1 2011,350
10 a 15 anos,Mar 1 2011,350
10 a 15 anos,Apr 1 2011,350
10 a 15 anos,May 1 2011,350
10 a 15 anos,Jun 1 2011,350
10 a 15 anos,Jul 1 2011,350
10 a 15 anos,Aug 1 2011,350
10 a 15 anos,Sep 1 2011,350
10 a 15 anos,Oct 1 2011,350
10 a 15 anos,Nov 1 2011,350
10 a 15 anos,Dec 1 2011,350
10 a 15 anos,Jan 1 2012,421
10 a 15 anos,Feb 1 2012,421
10 a 15 anos,Mar 1 2012,421
10 a 15 anos,Apr 1 2012,421
10 a 15 anos,May 1 2012,421
10 a 15 anos,Jun 1 2012,421
10 a 15 anos,Jul 1 2012,421
10 a 15 anos,Aug 1 2012,421
10 a 15 anos,Sep 1 2012,421
10 a 15 anos,Oct 1 2012,421
10 a 15 anos,Nov 1 2012,421
10 a 15 anos,Dec 1 2012,421
10 a 15 anos,Jan 1 2013,411
10 a 15 anos,Feb 1 2013,411
10 a 15 anos,Mar 1 2013,411
10 a 15 anos,Apr 1 2013,411
10 a 15 anos,May 1 2013,411
10 a 15 anos,Jun 1 2013,411
10 a 15 anos,Jul 1 2013,411
10 a 15 anos,Aug 1 2013,411
10 a 15 anos,Sep 1 2013,411
10 a 15 anos,Oct 1 2013,411
10 a 15 anos,Nov 1 2013,411
10 a 15 anos,Dec 1 2013,411
10 a 15 anos,Jan 1 2014,496
10 a 15 anos,Feb 1 2014,496
10 a 15 anos,Mar 1 2014,496
10 a 15 anos,Apr 1 2014,496
10 a 15 anos,May 1 2014,496
10 a 15 anos,Jun 1 2014,496
10 a 15 anos,Jul 1 2014,496
10 a 15 anos,Aug 1 2014,496
10 a 15 anos,Sep 1 2014,496
10 a 15 anos,Oct 1 2014,496
10 a 15 anos,Nov 1 2014,496
10 a 15 anos,Dec 1 2014,496
10 a 15 anos,Jan 1 2015,396
10 a 15 anos,Feb 1 2015,396
10 a 15 anos,Mar 1 2015,396
10 a 15 anos,Apr 1 2015,396
10 a 15 anos,May 1 2015,396
10 a 15 anos,Jun 1 2015,396
10 a 15 anos,Jul 1 2015,396
10 a 15 anos,Aug 1 2015,396
10 a 15 anos,Sep 1 2015,396
10 a 15 anos,Oct 1 2015,396
10 a 15 anos,Nov 1 2015,396
10 a 15 anos,Dec 1 2015,396
10 a 15 anos,Jan 1 2016,251
10 a 15 anos,Feb 1 2016,251
10 a 15 anos,Mar 1 2016,251
10 a 15 anos,Apr 1 2016,251
10 a 15 anos,May 1 2016,251
10 a 15 anos,Jun 1 2016,251
10 a 15 anos,Jul 1 2016,251
10 a 15 anos,Aug 1 2016,251
10 a 15 anos,Sep 1 2016,251
10 a 15 anos,Oct 1 2016,251
10 a 15 anos,Nov 1 2016,251
10 a 15 anos,Dec 1 2016,251
10 a 15 anos,Jan 1 2017,186
10 a 15 anos,Feb 1 2017,186
10 a 15 anos,Mar 1 2017,186
10 a 15 anos,Apr 1 2017,186
10 a 15 anos,May 1 2017,186
10 a 15 anos,Jun 1 2017,186
10 a 15 anos,Jul 1 2017,186
10 a 15 anos,Aug 1 2017,186
10 a 15 anos,Sep 1 2017,186
10 a 15 anos,Oct 1 2017,186
10 a 15 anos,Nov 1 2017,186
10 a 15 anos,Dec 1 2017,186
16 a 20 anos,Jan 1 2009,3200
16 a 20 anos,Feb 1 2009,3200
16 a 20 anos,Mar 1 2009,3200
16 a 20 anos,Apr 1 2009,3200
16 a 20 anos,May 1 2009,3200
16 a 20 anos,Jun 1 2009,3200
16 a 20 anos,Jul 1 2009,3200
16 a 20 anos,Aug 1 2009,3200
16 a 20 anos,Sep 1 2009,3200
16 a 20 anos,Oct 1 2009,3200
16 a 20 anos,Nov 1 2009,3200
16 a 20 anos,Dec 1 2009,3200
16 a 20 anos,Jan 1 2010,3000
16 a 20 anos,Feb 1 2010,3000
16 a 20 anos,Mar 1 2010,3000
16 a 20 anos,Apr 1 2010,3000
16 a 20 anos,May 1 2010,3000
16 a 20 anos,Jun 1 2010,3000
16 a 20 anos,Jul 1 2010,3000
16 a 20 anos,Aug 1 2010,3000
16 a 20 anos,Sep 1 2010,3000
16 a 20 anos,Oct 1 2010,3000
16 a 20 anos,Nov 1 2010,3000
16 a 20 anos,Dec 1 2010,3000
16 a 20 anos,Jan 1 2011,2446
16 a 20 anos,Feb 1 2011,2446
16 a 20 anos,Mar 1 2011,2446
16 a 20 anos,Apr 1 2011,2446
16 a 20 anos,May 1 2011,2446
16 a 20 anos,Jun 1 2011,2446
16 a 20 anos,Jul 1 2011,2446
16 a 20 anos,Aug 1 2011,2446
